Connect database
Seeded default roles: owner, manager, cashier, waiter, chef
[GIN] 2026/05/05 - 18:50:20 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/categories"
[GIN] 2026/05/05 - 18:50:20 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/menu-items"
[GIN] 2026/05/05 - 18:50:20 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/categories"
[GIN] 2026/05/05 - 18:50:20 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/menu-items"
[GIN] 2026/05/05 - 18:50:20 | 200 |       845.6µs |    192.168.1.42 | GET      "/api/v1/categories"
[GIN] 2026/05/05 - 18:50:20 | 200 |       729.5µs |    192.168.1.42 | GET      "/api/v1/categories"
[GIN] 2026/05/05 - 18:50:20 | 200 |     31.6016ms |    192.168.1.42 | GET      "/api/v1/menu-items"
[GIN] 2026/05/05 - 18:50:20 | 200 |         643µs |    192.168.1.42 | GET      "/api/v1/menu-items"
[GIN] 2026/05/05 - 18:52:02 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:52:02 | 404 |      1.5138ms |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:52:02 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:52:02 | 404 |            0s |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:52:02 | 200 |       504.5µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:52:59 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:52:59 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:52:59 | 200 |      2.4234ms |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:52:59 | 200 |         707µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:53:07 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:53:07 | 200 |       545.5µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:53:07 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:53:07 | 200 |       504.8µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:53:08 | 200 |      1.0402ms |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:53:08 | 200 |       513.2µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:53:10 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:53:10 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 18:53:10 | 200 |      1.0472ms |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:53:10 | 200 |       540.3µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 18:53:19 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:53:19 | 200 |       676.2µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:53:19 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:53:19 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:53:19 | 200 |       547.9µs |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 18:53:19 | 200 |       802.5µs |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:53:19 | 200 |            0s |    192.168.1.42 | GET      "/api/v1/restaurants/me"
[GIN] 2026/05/05 - 18:53:20 | 401 |            0s |    192.168.1.42 | GET      "/api/v1/users/profile"
[GIN] 2026/05/05 - 19:00:59 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/google-login"
[GIN] 2026/05/05 - 19:00:59 | 200 |    100.5913ms |    192.168.1.42 | POST     "/api/google-login"
[GIN] 2026/05/05 - 19:00:59 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 19:00:59 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/tables"
[GIN] 2026/05/05 - 19:00:59 | 200 |       503.1µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 19:00:59 | 200 |       701.7µs |    192.168.1.42 | GET      "/api/v1/tables"
[GIN] 2026/05/05 - 19:01:00 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/categories"
[GIN] 2026/05/05 - 19:01:00 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/menu-items"
[GIN] 2026/05/05 - 19:01:00 | 204 |            0s |    192.168.1.42 | OPTIONS  "/api/v1/categories"
